Date,Close/Last,Volume,Open,High,Low
10/30/2014,81.12,252831,81.93,82.09,80.72
10/29/2014,82.20,269147,81.55,82.88,81.44
10/28/2014,81.42,214268,80.64,81.66,80.36
10/27/2014,81.00,270878,81.27,81.29,79.44
10/24/2014,81.01,255807,81.95,81.95,80.36
10/23/2014,82.09,336935,80.42,82.37,80.05
10/22/2014,80.52,334681,82.55,83.15,80.22
10/21/2014,82.81,19471,82.76,84.05,82.29
10/20/2014,82.71,55464,83.13,83.48,81.55
10/17/2014,82.75,161117,83.18,84.45,82.44
10/16/2014,82.70,400640,81.06,84.83,79.78
10/15/2014,81.78,466073,82.05,82.44,80.01
10/14/2014,81.84,456707,84.98,85.60,81.32
10/13/2014,85.74,267364,85.20,85.87,84.07
10/10/2014,85.82,371351,84.39,86.29,83.59
10/09/2014,85.77,317116,87.73,87.95,84.06
10/08/2014,87.31,350119,88.43,88.63,86.83
10/07/2014,88.85,273525,90.45,90.57,88.38
10/06/2014,90.34,264008,89.59,90.74,88.76
10/03/2014,89.74,327797,91.38,91.79,89.36
10/02/2014,91.01,436511,90.74,91.54,88.18
10/01/2014,90.73,373444,91.36,92.96,90.47
09/30/2014,91.16,411462,94.34,94.90,90.86
09/29/2014,94.57,245895,93.35,94.64,92.74
09/26/2014,93.54,247304,92.47,93.86,92.23
09/25/2014,92.53,239809,92.89,93.54,92.05
09/24/2014,92.80,269981,91.72,93.29,91.12
09/23/2014,91.56,238485,90.70,92.09,90.58
09/22/2014,91.52,20275,92.22,92.64,91.20
09/19/2014,92.41,62632,92.97,93.22,91.85
09/18/2014,93.07,155978,93.97,94.82,92.85
09/17/2014,94.42,283192,94.71,95.06,93.74
09/16/2014,94.88,271340,92.81,95.19,92.46
09/15/2014,92.92,244261,92.13,93.03,90.63
09/12/2014,92.27,278714,93.05,93.67,91.96
09/11/2014,92.83,374901,91.71,93.44,90.43
09/10/2014,91.67,272180,92.79,93.03,91.22
09/09/2014,92.75,257038,93.11,93.94,92.52
09/08/2014,92.66,258576,93.49,93.62,91.80
09/05/2014,93.29,250194,94.57,94.99,92.86
09/04/2014,94.45,241280,95.07,95.39,94.16
09/03/2014,95.54,281350,93.28,95.83,93.06
09/02/2014,92.88,305634,95.76,95.91,92.68
09/01/2014,95.96,N/A,95.96,95.96,95.96
08/29/2014,95.96,215807,94.56,96.00,94.48
08/28/2014,94.55,249831,93.75,94.71,93.45
08/27/2014,93.88,167440,93.88,94.24,93.36
08/26/2014,93.86,168577,93.36,94.35,93.35
08/25/2014,93.35,126606,93.34,93.95,93.05
08/22/2014,93.65,181163,93.89,94.04,92.92
08/21/2014,93.96,215701,93.49,94.45,92.50
08/20/2014,96.07,17928,94.70,96.47,94.70
08/19/2014,94.48,72351,96.56,97.05,94.26
08/18/2014,96.41,136750,97.10,97.16,95.81
08/15/2014,97.35,242469,95.50,97.41,95.32
08/14/2014,95.58,328613,97.30,97.59,95.26
